Longitud de onda,M1,M2
510.5,27.591,3.618
511,27.709,3.811
511.5,27.797,3.964
512,27.871,4.028
512.5,27.909,3.996
513,27.823,3.88
513.5,27.615,3.758
514,27.545,3.789
514.5,27.468,3.831
515,27.378,3.861
515.5,27.421,3.922
516,27.416,3.984
516.5,27.461,4.001
517,27.608,4.002
517.5,27.739,4.054
518,27.704,4.01
518.5,27.553,3.963
519,27.518,4.048
519.5,27.428,4.108
520,27.442,4.121
520.5,27.395,4.048
521,27.18,3.814
521.5,27.055,3.566
522,26.964,3.385
522.5,26.722,3.254
523,26.453,3.071
523.5,26.253,2.927
524,26.187,2.979
524.5,26.255,3.107
525,26.364,3.175
525.5,26.413,3.252
526,26.454,3.331
526.5,26.512,3.44
527,26.441,3.477
527.5,26.18,3.459
528,25.849,3.194
528.5,25.637,2.952
529,25.436,2.806
529.5,25.415,2.689
530,25.436,2.618
530.5,25.586,2.668
531,25.774,2.931
531.5,25.938,3.227
532,26.024,3.428
532.5,26.087,3.595
533,26.112,3.633
533.5,26.098,3.619
534,26.027,3.491
534.5,25.93,3.356
535,25.969,3.327
535.5,26.03,3.388
536,25.977,3.452
536.5,25.976,3.534
537,25.889,3.521
537.5,25.847,3.535
538,25.778,3.437
538.5,25.683,3.25
539,25.538,2.949
539.5,25.389,2.724
540,25.329,2.544
540.5,25.263,2.427
541,25.243,2.356
541.5,25.275,2.407
542,25.226,2.499
542.5,25.214,2.575
543,25.225,2.704
543.5,25.395,2.89
544,25.557,3.098
544.5,25.653,3.258
545,25.81,3.458
545.5,25.904,3.568
546,25.936,3.554
546.5,25.798,3.397
547,25.578,3.168
547.5,25.343,2.942
548,25.088,2.749
548.5,24.836,2.636
549,24.748,2.708
549.5,24.654,2.756
550,24.792,2.926
550.5,25.016,3.116
551,25.177,3.201
551.5,25.308,3.228
552,25.277,3.156
552.5,25.217,3.205
553,25.106,3.125
553.5,24.89,2.955
554,24.775,2.816
554.5,24.641,2.584
555,24.611,2.407
555.5,24.711,2.307
556,24.806,2.277
556.5,24.876,2.273
557,24.801,2.279
557.5,24.765,2.455
558,24.8,2.571
558.5,24.755,2.595
559,24.731,2.603
559.5,24.629,2.561
560,24.593,2.534
560.5,24.432,2.413
561,24.277,2.391
561.5,24.145,2.35
562,24.126,2.378
562.5,24.154,2.512
563,24.306,2.704
563.5,24.563,3.012
564,24.858,3.249
564.5,25.119,3.399
565,25.247,3.452
565.5,25.079,3.329
566,24.875,3.262
566.5,24.739,3.219
567,24.634,3.135
567.5,24.432,3.041
568,24.465,3.087
568.5,24.657,3.243
569,24.851,3.343
569.5,25.014,3.421
570,24.997,3.344
570.5,24.883,3.227
571,24.737,3.083
571.5,24.642,3
